Data;Hora;Temperatura;Umidade;Velocidade_Vento;Pressao;Radiacao_Solar
28/03/2024;01:00;21,6;86;0,7;1015,6;0
28/03/2024;02:00;20,7;91;0;1015,3;0
28/03/2024;03:00;20,5;93;0;1015;0
28/03/2024;04:00;20,5;95;0;1014,9;0
28/03/2024;05:00;20,7;95;0;1014,6;0
28/03/2024;06:00;20,7;95;0;1014,7;0
28/03/2024;07:00;20,7;95;0;1014,9;6
28/03/2024;08:00;21,4;92;0;1015,4;42
28/03/2024;09:00;22,1;89;0,5;1015,9;102
28/03/2024;10:00;23,4;83;0,6;1016,1;191
28/03/2024;11:00;24,4;78;0,7;1016;225
28/03/2024;12:00;24,3;79;0,7;1015,7;121
28/03/2024;13:00;24,2;80;0,8;1015,1;113
28/03/2024;14:00;23,1;89;0,6;1014,6;40
28/03/2024;15:00;22,8;92;0,5;1014,2;33
28/03/2024;16:00;22,9;92;0,7;1014,1;22
28/03/2024;17:00;22,7;94;0,6;1014,2;12
28/03/2024;18:00;22,5;96;0;1014,2;4
28/03/2024;19:00;22,6;96;0;1014,3;0
28/03/2024;20:00;22,5;96;0;1014,7;0
28/03/2024;21:00;22,2;97;0;1014,9;0
28/03/2024;22:00;22,3;97;0;1015,2;0
28/03/2024;23:00;22,3;96;0;1015,2;0
28/03/2024;24:00:00;22,2;96;0;1014,8;0
29/03/2024;01:00;22,3;96;0;1014,5;0
29/03/2024;02:00;22,2;96;0;1014,1;0
29/03/2024;03:00;21,9;96;0;1013,5;0
29/03/2024;04:00;21,6;97;0;1013,4;0
29/03/2024;05:00;21,6;97;0;1013,4;0
29/03/2024;06:00;21,8;97;0;1013,6;0
29/03/2024;07:00;21,9;96;0;1014;6
29/03/2024;08:00;22,7;94;0;1014,4;56
29/03/2024;09:00;23,9;88;0;1014,6;112
29/03/2024;10:00;25,5;80;0,7;1014,7;207
29/03/2024;11:00;26,1;79;0,8;1014,3;240
29/03/2024;12:00;26,4;79;1,1;1014,1;372
29/03/2024;13:00;26,3;80;1,2;1013,6;259
29/03/2024;14:00;26,7;79;1,1;1013;331
29/03/2024;15:00;26,3;79;0,9;1012,5;193
29/03/2024;16:00;26,5;75;0,9;1012,1;106
29/03/2024;17:00;26,1;79;0,9;1012,1;58
